x,wpdf,fpdf,supdf,sppdf
2.1829432943294327,0.32977239061436797,0.2292681487111202,0.19442729439405004,0.2541903696755176
2.184268426842684,0.32985015727144595,0.229318086111956,0.194541597054543,0.2543134720895578
2.1855935593559352,0.3299274249044966,0.22936782742037942,0.1946557271875182,0.2544362709568596
2.1869186918691867,0.3300041937815801,0.22941737275502902,0.1947696847013422,0.25455876622067186
2.1882438243824383,0.330080464172461,0.22946672223480574,0.19488346950494717,0.2546809578253507
2.1895689568956893,0.3301562363486048,0.22951587597887213,0.1949970815078302,0.2548028457163579
2.190894089408941,0.3302315105831715,0.22956483410665113,0.1951105206200526,0.25492442984025887
2.192219221922192,0.3303062871510107,0.22961359673782528,0.19522378675223911,0.2550457101447203
2.1935443544354434,0.33038056632865587,0.2296621639923356,0.19533687981557757,0.25516668657850905
2.194869486948695,0.3304543483943203,0.22971053599038127,0.1954497997218174,0.25528735909149
2.196194619461946,0.33052763362789006,0.22975871285241756,0.19556254638326961,0.25540772763462355
2.1975197519751974,0.330600422310921,0.229806694699156,0.1956751197128059,0.25552779215996435
2.1988448844884485,0.3306727147266306,0.2298544816515629,0.19578751962385788,0.2556475526206594
2.2001700170017,0.33074451115989617,0.2299020738308583,0.19589974603041593,0.2557670089709457
2.2014951495149515,0.33081581189724635,0.22994947135851562,0.19601179884702938,0.2558861611661488
2.2028202820282026,0.33088661722685786,0.22999667435626017,0.19612367798880484,0.25600500916268054
2.204145414541454,0.3309569274385499,0.2300436829460685,0.19623538337140617,0.2561235529180374
2.205470547054705,0.33102674282377836,0.23009049725016714,0.19634691491105333,0.25624179239079825
2.2067956795679566,0.33109606367563127,0.23013711739103238,0.19645827252452186,0.256359727540623
2.208120812081208,0.3311648902888228,0.23018354349138845,0.19656945612914195,0.25647735832825
2.209445944594459,0.33123322295968927,0.23022977567420747,0.19668046564279817,0.2565946847154947
2.2107710771077107,0.3313010619861825,0.23027581406270772,0.19679130098392797,0.2567117066652472
2.2120962096209618,0.3313684076678654,0.2303216587803535,0.19690196207152177,0.25682842414147083
2.2134213421342133,0.33143526030590653,0.2303673099508535,0.1970124488251216,0.2569448371092003
2.2147464746474648,0.331501620203075,0.2304127676981605,0.19712276116482072,0.25706094553453895
2.216071607160716,0.3315674876637357,0.23045803214646995,0.19723289901126276,0.2571767493846577
2.2173967396739673,0.331632862993843,0.23050310342021943,0.197342862285641,0.2572922486277926
2.2187218721872184,0.331697746500936,0.23054798164408755,0.19745265090969755,0.25740744323324327
2.22004700470047,0.33176213849413394,0.23059266694299307,0.19756226480572292,0.25752233317137097
2.2213721372137214,0.3318260392841306,0.2306371594420941,0.19767170389655492,0.25763691841359615
2.2226972697269725,0.3318894491831888,0.23068145926678704,0.19778096810557794,0.25775119893239695
2.224022402240224,0.33195236850513565,0.23072556654270573,0.19789005735672263,0.25786517470130754
2.225347534753475,0.3320147975653568,0.23076948139572062,0.19799897157446458,0.2579788456949155
2.2266726672667265,0.33207673668079213,0.23081320395193794,0.19810771068382427,0.2580922118888604
2.227997799779978,0.33213818616993,0.23085673433769835,0.19821627461036548,0.25820527325983167
2.229322932293229,0.33219914635280184,0.23090007267957677,0.19832466328019513,0.25831802978556645
2.2306480648064806,0.3322596175509774,0.23094321910438093,0.19843287661996276,0.2584304814448486
2.2319731973197316,0.3323196000875596,0.23098617373915042,0.19854091455685888,0.2585426282175054
2.233298329832983,0.33237909428717904,0.2310289367111564,0.19864877701861533,0.2586544700844067
2.2346234623462347,0.33243810047598976,0.2310715081479002,0.19875646393350369,0.2587660070274623
2.2359485948594857,0.3324966189816623,0.23111388817711234,0.19886397523033478,0.2588772390296204
2.237273727372737,0.33255465013338037,0.23115607692675233,0.19897131083845826,0.25898816607486574
2.2385988598859883,0.3326121942618342,0.23119807452500687,0.1990784706877614,0.25909878814821713
2.23992399239924,0.33266925169921757,0.2312398811002896,0.19918545470866875,0.25920910523572616
2.2412491249124913,0.3327258227792195,0.23128149678124016,0.1992922628321408,0.25931911732447477
2.2425742574257423,0.33278190783702205,0.23132292169672303,0.19939889498967414,0.2594288244025734
2.243899389938994,0.33283750720929356,0.23136415597582677,0.19950535111329984,0.25953822645915936
2.245224522452245,0.3328926212341839,0.23140519974786342,0.19961163113558322,0.2596473234843946
2.2465496549654964,0.33294725025131944,0.23144605314236721,0.19971773498962286,0.25975611546946376
2.247874787478748,0.33300139460179784,0.23148671628909392,0.19982366260905,0.2598646024065725
2.249199919991999,0.3330550546281836,0.2315271893180199,0.19992941392802777,0.259972784288945
2.2505250525052505,0.3331082306745012,0.23156747235934136,0.2000349888812503,0.26008066111082256
2.2518501850185015,0.33316092308623213,0.23160756554347336,0.2001403874039422,0.26018823286746157
2.253175317531753,0.3332131322103082,0.23164746900104904,0.2002456094318576,0.2602954995551312
2.254500450045004,0.3332648583951068,0.2316871828629184,0.20035065490127948,0.2604024611711118
2.2558255825582556,0.33331610199044714,0.23172670726014805,0.20045552374901915,0.26050911771369323
2.257150715071507,0.3333668633475825,0.2317660423240201,0.20056021591241494,0.2606154691821718
2.258475847584758,0.33341714281919804,0.23180518818603088,0.20066473132933207,0.2607215155768495
2.2598009800980097,0.3334669407594033,0.2318441449778906,0.2007690699381615,0.2608272568990318
2.2611261126112607,0.3335162575237286,0.23188291283152263,0.20087323167781926,0.26093269315102496
2.2624512451245122,0.33356509346912,0.23192149187906172,0.2009772164877459,0.2610378243361351
2.2637763776377637,0.3336134489539331,0.23195988225285435,0.2010810243079055,0.26114265045866547
2.265101510151015,0.33366132433792883,0.23199808408545675,0.20118465507878483,0.2612471715239148
2.2664266426642663,0.3337087199822682,0.23203609750963525,0.20128810874139297,0.2613513875381757
2.2677517751775174,0.3337556362495071,0.23207392265836413,0.2013913852372603,0.2614552985087321
2.269076907690769,0.3338020735035921,0.23211155966482575,0.20149448450843785,0.2615589044438572
2.2704020402040204,0.3338480321098534,0.2321490086624093,0.2015974064974963,0.2616622053528126
2.2717271727172714,0.33389351243500265,0.23218626978470996,0.20170015114752557,0.26176520124584507
2.273052305230523,0.3339385148471246,0.23222334316552837,0.20180271840213393,0.26186789213418515
2.274377437743774,0.33398303971567567,0.23226022893886916,0.2019051082054471,0.26197027803004536
2.2757025702570255,0.3340270874114752,0.23229692723894074,0.20200732050210773,0.26207235894661807
2.277027702770277,0.33407065830670385,0.2323334382001542,0.20210935523727458,0.26217413489807356
2.278352835283528,0.3341137527748957,0.23236976195712228,0.20221121235662148,0.2622756058995576
2.2796779677967796,0.33415637119093583,0.23240589864465894,0.20231289180633721,0.26237677196719045
